Temperature,Humidity,CO2,Productivity
20.2,22.79,431.75,84.89664528075821
20.2,22.79,432.0,84.89668712375087
20.2,22.79,434.5,84.89709710830275
20.2,22.79,436.5,84.89741404018105
20.2,22.79,439.0,84.89779638532492
20.2,22.79,439.666666666667,84.89789575070279
20.2,22.815,441.2,84.91559005381254
20.2,22.89,433.75,84.96675900140148
20.2,22.89,439.25,84.96761705146736
20.2,22.89,440.6,84.96781630395957
20.2,22.89,440.666666666667,84.96782602757155
20.2,22.89,442.0,84.9680182067639
20.2,22.89,445.333333333333,84.96847954601827
20.218,22.81,431.4,85.02172783880687
20.2225,22.815,433.25,85.05314460797493
20.2225,22.815,438.25,85.05393386662536
20.2225,22.8675,435.25,85.09010221580138
20.236,22.83,431.4,85.14574172965027
20.236,22.83,440.2,85.14712974386705
20.245,22.815,435.0,85.19046283231705
20.245,22.84,431.0,85.20725824842687
20.245,22.84,437.75,85.20834655011654
20.26,22.6666666666667,433.333333333333,85.1766903091668
20.26,22.76,435.666666666667,85.24250060648936
20.26,22.79,436.333333333333,85.2635905164843
20.2675,22.675,437.0,85.22802832693108
20.2675,22.7,434.5,85.24517747273723
20.2675,22.72,433.666666666667,85.25906597543103
20.2675,22.84,439.25,85.34386252169443
20.2675,22.865,436.75,85.36091950192689
20.272,22.68,437.0,85.25838675206339
20.29,22.6,434.25,85.30840937416778
20.29,22.6,434.5,85.30844968163778
20.29,22.6,435.0,85.30852983592095
20.29,22.6,435.2,85.30856172565568
20.29,22.6,435.5,85.30860937599506
20.29,22.6,437.6,85.30893673714331
20.29,22.625,440.5,85.32696294549507
20.29,22.6333333333333,440.666666666667,85.33284768988995
20.29,22.65,431.0,85.34303924594143
20.29,22.65,432.75,85.34333214689
20.29,22.675,434.666666666667,85.36120414362412
20.29,22.675,435.75,85.36137659135022
20.29,22.675,438.0,85.36172553887612
20.29,22.7,427.6,85.37755228027795
20.29,22.7,428.25,85.37766737998597
20.29,22.7,429.333333333333,85.37785690613637
20.29,22.7,431.75,85.37826930487111
20.29,22.7,432.25,85.37835283730415
20.29,22.7,432.25,85.37835283730415
20.29,22.7,433.0,85.37847698431172
20.29,22.7,433.8,85.37860788454796
20.29,22.7,434.0,85.3786403639234
20.29,22.7,434.2,85.37867274502538
